PRENOTAZIONI    TEMPERATURA   CORNETTI
1               14              2
1               17              0
3               18              2
3               30              1
5               25              3
8               25              7
10              39              4
4               17              3
1               18              1
1               19              0
1               20              0
1               18              2
3               15              5
5               20              3
2               30              0
3               30              0
8               28              5
9               30              6
10              23              7
4               20              4
0               15              3
0               14              2
0               13              3              
